State/territory,Calendar year,School sector,School level,MeanRatio
New South Wales,2017,Government,Secondary,12.4
New South Wales,2017,Independent,All,11.6
New South Wales,2017,Independent,Primary,13.9
New South Wales,2017,Independent,Secondary,10.0
New South Wales,2018,All,All,13.7
New South Wales,2018,All,Primary,15.4
New South Wales,2018,All,Secondary,11.9
New South Wales,2018,All non-government,All,13.0
New South Wales,2018,All non-government,Primary,15.5
New South Wales,2018,All non-government,Secondary,11.3
New South Wales,2018,Catholic,All,14.3
New South Wales,2018,Catholic,Primary,16.9
New South Wales,2018,Catholic,Secondary,12.4
New South Wales,2018,Government,All,14.1
New South Wales,2018,Government,Primary,15.4
New South Wales,2018,Government,Secondary,12.3
New South Wales,2018,Independent,All,11.4
New South Wales,2018,Independent,Primary,13.6
New South Wales,2018,Independent,Secondary,10.0
New South Wales,2019,All,All,14.5
New South Wales,2019,All,Primary,16.3
New South Wales,2019,All,Secondary,12.7
New South Wales,2019,All non-government,All,12.9
New South Wales,2019,All non-government,Primary,15.3
New South Wales,2019,All non-government,Secondary,11.2
New South Wales,2019,Catholic,All,14.2
New South Wales,2019,Catholic,Primary,16.6
New South Wales,2019,Catholic,Secondary,12.3
New South Wales,2019,Government,All,15.6
New South Wales,2019,Government,Primary,16.8
New South Wales,2019,Government,Secondary,13.9
New South Wales,2019,Independent,All,11.4
New South Wales,2019,Independent,Primary,13.6
New South Wales,2019,Independent,Secondary,10.0
New South Wales,2020,All,All,14.1
New South Wales,2020,All,Primary,15.8
New South Wales,2020,All,Secondary,12.4
New South Wales,2020,All non-government,All,12.8
New South Wales,2020,All non-government,Primary,15.2
New South Wales,2020,All non-government,Secondary,11.1
New South Wales,2020,Catholic,All,13.9
New South Wales,2020,Catholic,Primary,16.1
New South Wales,2020,Catholic,Secondary,12.2
New South Wales,2020,Government,All,14.9
New South Wales,2020,Government,Primary,16.0
New South Wales,2020,Government,Secondary,13.4
New South Wales,2020,Independent,All,11.5
New South Wales,2020,Independent,Primary,14.1
New South Wales,2020,Independent,Secondary,10.0
New South Wales,2021,All,All,13.7
New South Wales,2021,All,Primary,15.1
New South Wales,2021,All,Secondary,12.2
New South Wales,2021,All non-government,All,12.7
New South Wales,2021,All non-government,Primary,15.0
New South Wales,2021,All non-government,Secondary,11.1
New South Wales,2021,Catholic,All,13.7
New South Wales,2021,Catholic,Primary,15.8
New South Wales,2021,Catholic,Secondary,12.1
New South Wales,2021,Government,All,14.3
New South Wales,2021,Government,Primary,15.2
New South Wales,2021,Government,Secondary,13.2
New South Wales,2021,Independent,All,11.6
New South Wales,2021,Independent,Primary,14.0
New South Wales,2021,Independent,Secondary,10.0
New South Wales,2022,All,All,13.6
New South Wales,2022,All,Primary,15.0
New South Wales,2022,All,Secondary,12.1
New South Wales,2022,All non-government,All,12.7
New South Wales,2022,All non-government,Primary,15.0
New South Wales,2022,All non-government,Secondary,11.1
New South Wales,2022,Catholic,All,13.7
New South Wales,2022,Catholic,Primary,15.8
New South Wales,2022,Catholic,Secondary,12.1
New South Wales,2022,Government,All,14.2
New South Wales,2022,Government,Primary,15.0
New South Wales,2022,Government,Secondary,13.0
New South Wales,2022,Independent,All,11.5
New South Wales,2022,Independent,Primary,14.1
New South Wales,2022,Independent,Secondary,10.0
New South Wales,2023,All,All,13.6
New South Wales,2023,All,Primary,14.9
New South Wales,2023,All,Secondary,12.2
New South Wales,2023,All non-government,All,12.7
New South Wales,2023,All non-government,Primary,15.1
New South Wales,2023,All non-government,Secondary,11.1
New South Wales,2023,Catholic,All,13.7
New South Wales,2023,Catholic,Primary,15.8
New South Wales,2023,Catholic,Secondary,12.1
New South Wales,2023,Government,All,14.1
New South Wales,2023,Government,Primary,14.9
New South Wales,2023,Government,Secondary,13.2
New South Wales,2023,Independent,All,11.6
New South Wales,2023,Independent,Primary,14.1
New South Wales,2023,Independent,Secondary,10.0
New South Wales,2024,All,All,13.2
New South Wales,2024,All,Primary,14.3
New South Wales,2024,All,Secondary,12.0
New South Wales,2024,All non-government,All,12.6
New South Wales,2024,All non-government,Primary,14.7
New South Wales,2024,All non-government,Secondary,11.1
New South Wales,2024,Catholic,All,13.5
New South Wales,2024,Catholic,Primary,15.6
New South Wales,2024,Catholic,Secondary,12.0
New South Wales,2024,Government,All,13.5
New South Wales,2024,Government,Primary,14.1
New South Wales,2024,Government,Secondary,12.7
New South Wales,2024,Independent,All,11.5
New South Wales,2024,Independent,Primary,13.6
New South Wales,2024,Independent,Secondary,10.2
Northern Territory,2001,All,All,13.3
Northern Territory,2001,All,Primary,14.5
Northern Territory,2001,All,Secondary,11.3
Northern Territory,2001,All non-government,All,14.3
Northern Territory,2001,All non-government,Primary,17.9
Northern Territory,2001,All non-government,Secondary,10.9
Northern Territory,2001,Catholic,All,15.5
Northern Territory,2001,Catholic,Primary,19.1
Northern Territory,2001,Catholic,Secondary,10.5
Northern Territory,2001,Government,All,13.0
Northern Territory,2001,Government,Primary,13.8
Northern Territory,2001,Government,Secondary,11.4
Northern Territory,2001,Independent,All,12.9
Northern Territory,2001,Independent,Primary,15.6
Northern Territory,2001,Independent,Secondary,11.2
Northern Territory,2002,All,All,13.1
Northern Territory,2002,All,Primary,14.6
Northern Territory,2002,All,Secondary,10.8
Northern Territory,2002,All non-government,All,13.8
Northern Territory,2002,All non-government,Primary,17.6
Northern Territory,2002,All non-government,Secondary,10.3
Northern Territory,2002,Catholic,All,15.2
Northern Territory,2002,Catholic,Primary,17.7
Northern Territory,2002,Catholic,Secondary,11.2
Northern Territory,2002,Government,All,13.0
Northern Territory,2002,Government,Primary,14.0
Northern Territory,2002,Government,Secondary,10.9
Northern Territory,2002,Independent,All,12.4
Northern Territory,2002,Independent,Primary,17.5
Northern Territory,2002,Independent,Secondary,9.8
Northern Territory,2003,All,All,13.3
Northern Territory,2003,All,Primary,14.6
Northern Territory,2003,All,Secondary,11.1
Northern Territory,2003,All non-government,All,13.9
Northern Territory,2003,All non-government,Primary,18.3
Northern Territory,2003,All non-government,Secondary,10.2
Northern Territory,2003,Catholic,All,15.1
Northern Territory,2003,Catholic,Primary,18.5
Northern Territory,2003,Catholic,Secondary,10.5
Northern Territory,2003,Government,All,13.1
Northern Territory,2003,Government,Primary,13.9
Northern Territory,2003,Government,Secondary,11.6
Northern Territory,2003,Independent,All,12.6
Northern Territory,2003,Independent,Primary,17.9
Northern Territory,2003,Independent,Secondary,9.9
Northern Territory,2004,All,All,12.8
Northern Territory,2004,All,Primary,14.2
Northern Territory,2004,All,Secondary,10.6
Northern Territory,2004,All non-government,All,13.4
Northern Territory,2004,All non-government,Primary,18.1
Northern Territory,2004,All non-government,Secondary,9.8
Northern Territory,2004,Catholic,All,14.4
Northern Territory,2004,Catholic,Primary,18.0
Northern Territory,2004,Catholic,Secondary,10.1
Northern Territory,2004,Government,All,12.6
Northern Territory,2004,Government,Primary,13.5
Northern Territory,2004,Government,Secondary,11.0
Northern Territory,2004,Independent,All,12.4
Northern Territory,2004,Independent,Primary,18.2
Northern Territory,2004,Independent,Secondary,9.6
Northern Territory,2005,All,All,13.0
Northern Territory,2005,All,Primary,14.2
Northern Territory,2005,All,Secondary,11.2
Northern Territory,2005,All non-government,All,13.3
Northern Territory,2005,All non-government,Primary,16.7
Northern Territory,2005,All non-government,Secondary,10.3
Northern Territory,2005,Catholic,All,14.3
Northern Territory,2005,Catholic,Primary,16.9
Northern Territory,2005,Catholic,Secondary,10.8
Northern Territory,2005,Government,All,12.9
Northern Territory,2005,Government,Primary,13.6
Northern Territory,2005,Government,Secondary,11.6
Northern Territory,2005,Independent,All,12.4
Northern Territory,2005,Independent,Primary,16.4
Northern Territory,2005,Independent,Secondary,10.0
Northern Territory,2006,All,All,12.8
Northern Territory,2006,All,Primary,14.0
Northern Territory,2006,All,Secondary,11.0
Northern Territory,2006,All non-government,All,13.7
Northern Territory,2006,All non-government,Primary,17.4
Northern Territory,2006,All non-government,Secondary,10.5
Northern Territory,2006,Catholic,All,14.6
Northern Territory,2006,Catholic,Primary,17.4
Northern Territory,2006,Catholic,Secondary,11.2
Northern Territory,2006,Government,All,12.5
Northern Territory,2006,Government,Primary,13.3
Northern Territory,2006,Government,Secondary,11.2
Northern Territory,2006,Independent,All,12.8
Northern Territory,2006,Independent,Primary,17.6
Northern Territory,2006,Independent,Secondary,10.0
Northern Territory,2007,All,All,12.9
Northern Territory,2007,All,Primary,14.3
Northern Territory,2007,All,Secondary,10.8
Northern Territory,2007,All non-government,All,13.6
Northern Territory,2007,All non-government,Primary,17.0
Northern Territory,2007,All non-government,Secondary,10.6
Northern Territory,2007,Catholic,All,14.8
Northern Territory,2007,Catholic,Primary,17.5
Northern Territory,2007,Catholic,Secondary,11.5
Northern Territory,2007,Government,All,12.7
Northern Territory,2007,Government,Primary,13.7
Northern Territory,2007,Government,Secondary,10.9
Northern Territory,2007,Independent,All,12.5
Northern Territory,2007,Independent,Primary,16.4
Northern Territory,2007,Independent,Secondary,10.0
Northern Territory,2008,All,All,12.6
Northern Territory,2008,All,Primary,12.8
Northern Territory,2008,All,Secondary,12.3
Northern Territory,2008,All non-government,All,13.0
Northern Territory,2008,All non-government,Primary,15.5
Northern Territory,2008,All non-government,Secondary,11.2
Northern Territory,2008,Catholic,All,14.0
Northern Territory,2008,Catholic,Primary,15.6
Northern Territory,2008,Catholic,Secondary,12.5
Northern Territory,2008,Government,All,12.4
Northern Territory,2008,Government,Primary,12.2
Northern Territory,2008,Government,Secondary,12.9
Northern Territory,2008,Independent,All,12.2
Northern Territory,2008,Independent,Primary,15.5
Northern Territory,2008,Independent,Secondary,10.5
Northern Territory,2009,All,All,11.8
Northern Territory,2009,All,Primary,12.8
Northern Territory,2009,All,Secondary,10.5
Northern Territory,2009,All non-government,All,12.5
Northern Territory,2009,All non-government,Primary,15.5
Northern Territory,2009,All non-government,Secondary,10.5
Northern Territory,2009,Catholic,All,13.3
Northern Territory,2009,Catholic,Primary,15.1
Northern Territory,2009,Catholic,Secondary,11.2
Northern Territory,2009,Government,All,11.5
Northern Territory,2009,Government,Primary,12.1
Northern Territory,2009,Government,Secondary,10.6
Northern Territory,2009,Independent,All,11.9
Northern Territory,2009,Independent,Primary,16.1
Northern Territory,2009,Independent,Secondary,10.0
Northern Territory,2010,All,All,11.9
Northern Territory,2010,All,Primary,12.8
Northern Territory,2010,All,Secondary,10.9
Northern Territory,2010,All non-government,All,12.6
Northern Territory,2010,All non-government,Primary,15.8
Northern Territory,2010,All non-government,Secondary,10.5
Northern Territory,2010,Catholic,All,13.1
Northern Territory,2010,Catholic,Primary,15.2
Northern Territory,2010,Catholic,Secondary,10.9
Northern Territory,2010,Government,All,11.7
Northern Territory,2010,Government,Primary,12.2
Northern Territory,2010,Government,Secondary,11.0
Northern Territory,2010,Independent,All,12.3
Northern Territory,2010,Independent,Primary,16.5
Northern Territory,2010,Independent,Secondary,10.3
Northern Territory,2011,All,All,11.6
Northern Territory,2011,All,Primary,12.4
Northern Territory,2011,All,Secondary,10.5
Northern Territory,2011,All non-government,All,12.5
Northern Territory,2011,All non-government,Primary,15.5
Northern Territory,2011,All non-government,Secondary,10.5
Northern Territory,2011,Catholic,All,12.8
Northern Territory,2011,Catholic,Primary,15.1
Northern Territory,2011,Catholic,Secondary,10.4
Northern Territory,2011,Government,All,11.3
Northern Territory,2011,Government,Primary,11.8
Northern Territory,2011,Government,Secondary,10.5
Northern Territory,2011,Independent,All,12.3
Northern Territory,2011,Independent,Primary,15.9
Northern Territory,2011,Independent,Secondary,10.5
Northern Territory,2012,All,All,11.4
Northern Territory,2012,All,Primary,12.2
Northern Territory,2012,All,Secondary,10.3
Northern Territory,2012,All non-government,All,12.4
Northern Territory,2012,All non-government,Primary,15.7
Northern Territory,2012,All non-government,Secondary,10.3
Northern Territory,2012,Catholic,All,12.1
Northern Territory,2012,Catholic,Primary,15.3
Northern Territory,2012,Catholic,Secondary,9.2
Northern Territory,2012,Government,All,11.0
Northern Territory,2012,Government,Primary,11.5
Northern Territory,2012,Government,Secondary,10.3
Northern Territory,2012,Independent,All,12.7
Northern Territory,2012,Independent,Primary,16.3
Northern Territory,2012,Independent,Secondary,11.0
Northern Territory,2013,All,All,12.0
Northern Territory,2013,All,Primary,12.7
Northern Territory,2013,All,Secondary,11.0
Northern Territory,2013,All non-government,All,12.7
Northern Territory,2013,All non-government,Primary,15.5
Northern Territory,2013,All non-government,Secondary,10.9
Northern Territory,2013,Catholic,All,12.5
Northern Territory,2013,Catholic,Primary,14.9
Northern Territory,2013,Catholic,Secondary,10.2
Northern Territory,2013,Government,All,11.7
Northern Territory,2013,Government,Primary,12.1
Northern Territory,2013,Government,Secondary,11.0
Northern Territory,2013,Independent,All,12.9
Northern Territory,2013,Independent,Primary,16.2
Northern Territory,2013,Independent,Secondary,11.3
Northern Territory,2014,All,All,12.1
Northern Territory,2014,All,Primary,12.8
Northern Territory,2014,All,Secondary,11.1
Northern Territory,2014,All non-government,All,12.4
Northern Territory,2014,All non-government,Primary,15.3
Northern Territory,2014,All non-government,Secondary,10.5
Northern Territory,2014,Catholic,All,13.1
Northern Territory,2014,Catholic,Primary,15.0
Northern Territory,2014,Catholic,Secondary,11.2
Northern Territory,2014,Government,All,11.9
Northern Territory,2014,Government,Primary,12.2
Northern Territory,2014,Government,Secondary,11.5
Northern Territory,2014,Independent,All,11.9
Northern Territory,2014,Independent,Primary,15.6
Northern Territory,2014,Independent,Secondary,10.1
Northern Territory,2015,All,All,12.6
Northern Territory,2015,All,Primary,13.5
Northern Territory,2015,All,Secondary,11.4
Northern Territory,2015,All non-government,All,12.5
Northern Territory,2015,All non-government,Primary,15.5
Northern Territory,2015,All non-government,Secondary,10.5
Northern Territory,2015,Catholic,All,12.7
Northern Territory,2015,Catholic,Primary,15.1
Northern Territory,2015,Catholic,Secondary,10.7
Northern Territory,2015,Government,All,12.6
Northern Territory,2015,Government,Primary,13.0
Northern Territory,2015,Government,Secondary,11.9
Northern Territory,2015,Independent,All,12.2
Northern Territory,2015,Independent,Primary,15.9
Northern Territory,2015,Independent,Secondary,10.4
Northern Territory,2016,All,All,12.2
Northern Territory,2016,All,Primary,13.0
Northern Territory,2016,All,Secondary,11.2
Northern Territory,2016,All non-government,All,12.1
Northern Territory,2016,All non-government,Primary,14.7
Northern Territory,2016,All non-government,Secondary,10.3
Northern Territory,2016,Catholic,All,12.6
Northern Territory,2016,Catholic,Primary,15.0
Northern Territory,2016,Catholic,Secondary,10.7
Northern Territory,2016,Government,All,12.3
Northern Territory,2016,Government,Primary,12.6
Northern Territory,2016,Government,Secondary,11.9
Northern Territory,2016,Independent,All,11.7
Northern Territory,2016,Independent,Primary,14.4
Northern Territory,2016,Independent,Secondary,10.0
Northern Territory,2017,All,All,12.3
Northern Territory,2017,All,Primary,12.7
Northern Territory,2017,All,Secondary,11.6
Northern Territory,2017,All non-government,All,12.2
Northern Territory,2017,All non-government,Primary,14.6
Northern Territory,2017,All non-government,Secondary,10.5
Northern Territory,2017,Catholic,All,12.4
Northern Territory,2017,Catholic,Primary,14.6
Northern Territory,2017,Catholic,Secondary,10.7
Northern Territory,2017,Government,All,12.3
Northern Territory,2017,Government,Primary,12.3
Northern Territory,2017,Government,Secondary,12.4
Northern Territory,2017,Independent,All,12.0
Northern Territory,2017,Independent,Primary,14.5
Northern Territory,2017,Independent,Secondary,10.4
Northern Territory,2018,All,All,12.3
Northern Territory,2018,All,Primary,13.0
Northern Territory,2018,All,Secondary,11.5
Northern Territory,2018,All non-government,All,12.2
Northern Territory,2018,All non-government,Primary,14.6
Northern Territory,2018,All non-government,Secondary,10.5
Northern Territory,2018,Catholic,All,11.7
Northern Territory,2018,Catholic,Primary,13.6
Northern Territory,2018,Catholic,Secondary,10.2
Northern Territory,2018,Government,All,12.4
Northern Territory,2018,Government,Primary,12.6
Northern Territory,2018,Government,Secondary,12.1
Northern Territory,2018,Independent,All,12.6
Northern Territory,2018,Independent,Primary,15.5
Northern Territory,2018,Independent,Secondary,10.7
Northern Territory,2019,All,All,11.8
Northern Territory,2019,All,Primary,12.1
Northern Territory,2019,All,Secondary,11.4
Northern Territory,2019,All non-government,All,11.8
Northern Territory,2019,All non-government,Primary,13.4
Northern Territory,2019,All non-government,Secondary,10.5
Northern Territory,2019,Catholic,All,11.6
Northern Territory,2019,Catholic,Primary,12.4
Northern Territory,2019,Catholic,Secondary,10.8
Northern Territory,2019,Government,All,11.8
Northern Territory,2019,Government,Primary,11.8
Northern Territory,2019,Government,Secondary,11.9
Northern Territory,2019,Independent,All,11.9
Northern Territory,2019,Independent,Primary,14.4
Northern Territory,2019,Independent,Secondary,10.2
Northern Territory,2020,All,All,11.8
Northern Territory,2020,All,Primary,12.1
Northern Territory,2020,All,Secondary,11.4
Northern Territory,2020,All non-government,All,11.7
Northern Territory,2020,All non-government,Primary,13.3
Northern Territory,2020,All non-government,Secondary,10.5
Northern Territory,2020,Catholic,All,11.6
Northern Territory,2020,Catholic,Primary,12.9
Northern Territory,2020,Catholic,Secondary,10.6
Northern Territory,2020,Government,All,11.8
Northern Territory,2020,Government,Primary,11.8
Northern Territory,2020,Government,Secondary,11.8
Northern Territory,2020,Independent,All,11.8
Northern Territory,2020,Independent,Primary,13.7
Northern Territory,2020,Independent,Secondary,10.5
Northern Territory,2021,All,All,11.9
Northern Territory,2021,All,Primary,12.1
Northern Territory,2021,All,Secondary,11.5
Northern Territory,2021,All non-government,All,11.9
Northern Territory,2021,All non-government,Primary,13.3
Northern Territory,2021,All non-government,Secondary,10.8
Northern Territory,2021,Catholic,All,12.0
Northern Territory,2021,Catholic,Primary,13.4
Northern Territory,2021,Catholic,Secondary,10.8
Northern Territory,2021,Government,All,11.8
Northern Territory,2021,Government,Primary,11.8
Northern Territory,2021,Government,Secondary,11.9
Northern Territory,2021,Independent,All,11.9
Northern Territory,2021,Independent,Primary,13.3
Northern Territory,2021,Independent,Secondary,10.8
Northern Territory,2022,All,All,11.4
Northern Territory,2022,All,Primary,11.6
Northern Territory,2022,All,Secondary,11.1
Northern Territory,2022,All non-government,All,11.5
Northern Territory,2022,All non-government,Primary,12.5
Northern Territory,2022,All non-government,Secondary,10.6
Northern Territory,2022,Catholic,All,11.5
Northern Territory,2022,Catholic,Primary,11.6
Northern Territory,2022,Catholic,Secondary,11.3
Northern Territory,2022,Government,All,11.4
Northern Territory,2022,Government,Primary,11.4
Northern Territory,2022,Government,Secondary,11.4
Northern Territory,2022,Independent,All,11.5
Northern Territory,2022,Independent,Primary,13.3
Northern Territory,2022,Independent,Secondary,10.2
Northern Territory,2023,All,All,11.6
Northern Territory,2023,All,Primary,12.0
Northern Territory,2023,All,Secondary,11.0
Northern Territory,2023,All non-government,All,11.4
Northern Territory,2023,All non-government,Primary,13.0
Northern Territory,2023,All non-government,Secondary,10.2
Northern Territory,2023,Catholic,All,11.2
Northern Territory,2023,Catholic,Primary,12.6
Northern Territory,2023,Catholic,Secondary,10.1
Northern Territory,2023,Government,All,11.7
Northern Territory,2023,Government,Primary,11.8
Northern Territory,2023,Government,Secondary,11.4
Northern Territory,2023,Independent,All,11.5
Northern Territory,2023,Independent,Primary,13.3
Northern Territory,2023,Independent,Secondary,10.3
Northern Territory,2024,All,All,11.4
Northern Territory,2024,All,Primary,11.7
Northern Territory,2024,All,Secondary,10.9
Northern Territory,2024,All non-government,All,11.6
Northern Territory,2024,All non-government,Primary,13.8
Northern Territory,2024,All non-government,Secondary,10.1
Northern Territory,2024,Catholic,All,12.0
Northern Territory,2024,Catholic,Primary,13.8
Northern Territory,2024,Catholic,Secondary,10.5
Northern Territory,2024,Government,All,11.3
Northern Territory,2024,Government,Primary,11.3
Northern Territory,2024,Government,Secondary,11.3
Northern Territory,2024,Independent,All,11.3
Northern Territory,2024,Independent,Primary,13.7
Northern Territory,2024,Independent,Secondary,9.8
Queensland,2001,All,All,14.6
Queensland,2001,All,Primary,16.1
Queensland,2001,All,Secondary,12.7
Queensland,2001,All non-government,All,14.8
Queensland,2001,All non-government,Primary,17.3
Queensland,2001,All non-government,Secondary,12.8
Queensland,2001,Catholic,All,15.6
Queensland,2001,Catholic,Primary,18.0
Queensland,2001,Catholic,Secondary,13.3
Queensland,2001,Government,All,14.5
Queensland,2001,Government,Primary,15.8
Queensland,2001,Government,Secondary,12.6
Queensland,2001,Independent,All,13.7
Queensland,2001,Independent,Primary,16.3
Queensland,2001,Independent,Secondary,12.2
Queensland,2002,All,All,14.6
Queensland,2002,All,Primary,16.0
Queensland,2002,All,Secondary,12.9
Queensland,2002,All non-government,All,14.6
Queensland,2002,All non-government,Primary,16.9
Queensland,2002,All non-government,Secondary,12.7
Queensland,2002,Catholic,All,15.4
Queensland,2002,Catholic,Primary,17.7
Queensland,2002,Catholic,Secondary,13.1
Queensland,2002,Government,All,14.7
Queensland,2002,Government,Primary,15.7
Queensland,2002,Government,Secondary,13.1
Queensland,2002,Independent,All,13.6
Queensland,2002,Independent,Primary,15.8
Queensland,2002,Independent,Secondary,12.3
Queensland,2003,All,All,14.5
Queensland,2003,All,Primary,15.8
Queensland,2003,All,Secondary,12.9
Queensland,2003,All non-government,All,14.4
Queensland,2003,All non-government,Primary,16.7
Queensland,2003,All non-government,Secondary,12.6
Queensland,2003,Catholic,All,15.3
Queensland,2003,Catholic,Primary,17.5
Queensland,2003,Catholic,Secondary,13.1
Queensland,2003,Government,All,14.5
Queensland,2003,Government,Primary,15.5
Queensland,2003,Government,Secondary,13.0
Queensland,2003,Independent,All,13.5
Queensland,2003,Independent,Primary,15.7
Queensland,2003,Independent,Secondary,12.1
Queensland,2004,All,All,14.4
Queensland,2004,All,Primary,15.7
Queensland,2004,All,Secondary,12.8
Queensland,2004,All non-government,All,14.3
Queensland,2004,All non-government,Primary,16.6
Queensland,2004,All non-government,Secondary,12.5
Queensland,2004,Catholic,All,15.3
Queensland,2004,Catholic,Primary,17.4
Queensland,2004,Catholic,Secondary,13.1
Queensland,2004,Government,All,14.4
Queensland,2004,Government,Primary,15.4
Queensland,2004,Government,Secondary,13.0
Queensland,2004,Independent,All,13.3
Queensland,2004,Independent,Primary,15.5
Queensland,2004,Independent,Secondary,11.8
Queensland,2005,All,All,14.4
Queensland,2005,All,Primary,15.7
Queensland,2005,All,Secondary,12.8
Queensland,2005,All non-government,All,14.2
Queensland,2005,All non-government,Primary,16.3
Queensland,2005,All non-government,Secondary,12.5
Queensland,2005,Catholic,All,15.1
Queensland,2005,Catholic,Primary,17.1
Queensland,2005,Catholic,Secondary,13.1
Queensland,2005,Government,All,14.5
Queensland,2005,Government,Primary,15.5
Queensland,2005,Government,Secondary,13.0
Queensland,2005,Independent,All,13.1
Queensland,2005,Independent,Primary,15.1
Queensland,2005,Independent,Secondary,11.9
Queensland,2006,All,All,14.3
Queensland,2006,All,Primary,15.6
Queensland,2006,All,Secondary,12.8
Queensland,2006,All non-government,All,14.0
Queensland,2006,All non-government,Primary,15.9
Queensland,2006,All non-government,Secondary,12.5
Queensland,2006,Catholic,All,14.9
Queensland,2006,Catholic,Primary,16.7
Queensland,2006,Catholic,Secondary,13.0
Queensland,2006,Government,All,14.4
Queensland,2006,Government,Primary,15.5
Queensland,2006,Government,Secondary,13.0
Queensland,2006,Independent,All,13.1
Queensland,2006,Independent,Primary,14.8
Queensland,2006,Independent,Secondary,12.0
Queensland,2007,All,All,14.5
Queensland,2007,All,Primary,16.0
Queensland,2007,All,Secondary,12.7
Queensland,2007,All non-government,All,14.6
Queensland,2007,All non-government,Primary,17.4
Queensland,2007,All non-government,Secondary,12.2
Queensland,2007,Catholic,All,15.5
Queensland,2007,Catholic,Primary,18.0
Queensland,2007,Catholic,Secondary,12.9
Queensland,2007,Government,All,14.5
Queensland,2007,Government,Primary,15.5
Queensland,2007,Government,Secondary,12.9
Queensland,2007,Independent,All,13.6
Queensland,2007,Independent,Primary,16.6
Queensland,2007,Independent,Secondary,11.6
Queensland,2008,All,All,14.5
Queensland,2008,All,Primary,16.0
Queensland,2008,All,Secondary,12.6
Queensland,2008,All non-government,All,14.6
Queensland,2008,All non-government,Primary,17.4
Queensland,2008,All non-government,Secondary,12.2
Queensland,2008,Catholic,All,15.4
Queensland,2008,Catholic,Primary,18.0
Queensland,2008,Catholic,Secondary,12.8
Queensland,2008,Government,All,14.4
Queensland,2008,Government,Primary,15.5
Queensland,2008,Government,Secondary,12.8
Queensland,2008,Independent,All,13.6
Queensland,2008,Independent,Primary,16.6
Queensland,2008,Independent,Secondary,11.6
Queensland,2009,All,All,14.4
Queensland,2009,All,Primary,16.0
Queensland,2009,All,Secondary,12.5
Queensland,2009,All non-government,All,14.7
Queensland,2009,All non-government,Primary,17.7
Queensland,2009,All non-government,Secondary,12.2
Queensland,2009,Catholic,All,15.5
Queensland,2009,Catholic,Primary,18.3
Queensland,2009,Catholic,Secondary,12.7
Queensland,2009,Government,All,14.3
Queensland,2009,Government,Primary,15.4
Queensland,2009,Government,Secondary,12.7
Queensland,2009,Independent,All,13.9
Queensland,2009,Independent,Primary,16.9
Queensland,2009,Independent,Secondary,11.8
Queensland,2010,All,All,14.4
Queensland,2010,All,Primary,16.0
Queensland,2010,All,Secondary,12.5
Queensland,2010,All non-government,All,14.8
Queensland,2010,All non-government,Primary,17.5
Queensland,2010,All non-government,Secondary,12.4
Queensland,2010,Catholic,All,15.5
Queensland,2010,Catholic,Primary,18.1
Queensland,2010,Catholic,Secondary,12.9
Queensland,2010,Government,All,14.3
Queensland,2010,Government,Primary,15.4
Queensland,2010,Government,Secondary,12.6
Queensland,2010,Independent,All,13.9
Queensland,2010,Independent,Primary,16.7
Queensland,2010,Independent,Secondary,11.9
Queensland,2011,All,All,14.4
Queensland,2011,All,Primary,15.9
Queensland,2011,All,Secondary,12.4
Queensland,2011,All non-government,All,14.7
Queensland,2011,All non-government,Primary,17.5
Queensland,2011,All non-government,Secondary,12.2
Queensland,2011,Catholic,All,15.5
Queensland,2011,Catholic,Primary,18.2
Queensland,2011,Catholic,Secondary,12.8
Queensland,2011,Government,All,14.2
Queensland,2011,Government,Primary,15.3
Queensland,2011,Government,Secondary,12.5
Queensland,2011,Independent,All,13.8
Queensland,2011,Independent,Primary,16.7
Queensland,2011,Independent,Secondary,11.7
Queensland,2012,All,All,14.4
Queensland,2012,All,Primary,16.0
Queensland,2012,All,Secondary,12.4
Queensland,2012,All non-government,All,14.6
Queensland,2012,All non-government,Primary,17.4
Queensland,2012,All non-government,Secondary,12.2
Queensland,2012,Catholic,All,15.4
Queensland,2012,Catholic,Primary,18.0
Queensland,2012,Catholic,Secondary,12.8
Queensland,2012,Government,All,14.2
Queensland,2012,Government,Primary,15.4
Queensland,2012,Government,Secondary,12.5
Queensland,2012,Independent,All,13.8
Queensland,2012,Independent,Primary,16.7
Queensland,2012,Independent,Secondary,11.6
Queensland,2013,All,All,14.5
Queensland,2013,All,Primary,16.2
Queensland,2013,All,Secondary,12.4
Queensland,2013,All non-government,All,14.7
Queensland,2013,All non-government,Primary,17.4
Queensland,2013,All non-government,Secondary,12.2
Queensland,2013,Catholic,All,15.4
Queensland,2013,Catholic,Primary,17.9
Queensland,2013,Catholic,Secondary,12.8
Queensland,2013,Government,All,14.5
Queensland,2013,Government,Primary,15.8
Queensland,2013,Government,Secondary,12.6
Queensland,2013,Independent,All,13.8
Queensland,2013,Independent,Primary,16.7
Queensland,2013,Independent,Secondary,11.7
Queensland,2014,All,All,14.3
Queensland,2014,All,Primary,15.9
Queensland,2014,All,Secondary,12.4
Queensland,2014,All non-government,All,14.6
Queensland,2014,All non-government,Primary,17.4
Queensland,2014,All non-government,Secondary,12.2
Queensland,2014,Catholic,All,15.3
Queensland,2014,Catholic,Primary,17.9
Queensland,2014,Catholic,Secondary,12.6
Queensland,2014,Government,All,14.2
Queensland,2014,Government,Primary,15.3
